"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","e2e home service","1","0","POFT-326","0"
"0","","0","e2e","1","0","POFT-326","0"
"0","","0","e2e aksesoris","1","0","POFT-326","0"
"0","","0","e2e accs","1","0","POFT-326","0"
