"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","104964","Sebagai user, saya dapat mengubah profil saya","","Sun May 25 21:25:43 WIB 2025","passed","Sun May 25 21:27:28 WIB 2025","e2e update profile","e2e update profile","",""
"","81899","Sebagai user, saya dapat melakukan pembelian aksesoris dan pembayaran","","Sun May 25 21:21:37 WIB 2025","passed","Sun May 25 21:22:59 WIB 2025","e2e aksesoris","e2e aksesoris","",""
"","39772","Sebagai user, saya dapat melakukan preorder mobil baru","","Sun May 25 21:24:57 WIB 2025","passed","Sun May 25 21:25:37 WIB 2025","e2e preorder mobil baru","e2e preorder mobil baru (blocker)","",""
"","106247","Sebagai user, saya dapat melakukan booking home service","","Sun May 25 21:23:05 WIB 2025","passed","Sun May 25 21:24:51 WIB 2025","e2e home service","e2e home service","",""
